agency_cd	site_no	datetime	Turbidity, formazin nephelometric units (FNU) (Mean)		Turbidity, formazin nephelometric units (FNU) (Max)		Turbidity, formazin nephelometric units (FNU) (Min)		Gage height, feet (Mean)		 Gage height, feet (Minimum)		Gage height, feet (Mean)		Temperature, water, degrees Celsius (Maximum)		Temperature, water, degrees Celsius (Minimum)		Temperature, water, degrees Celsius (Mean)		Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)		Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)		Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)		Salinity, water, unfiltered, parts per thousand (Maximum)		Salinity, water, unfiltered, parts per thousand (Minimum)		Salinity, water, unfiltered, parts per thousand (Mean)		pH, water, unfiltered, field, standard units (Maximum)		pH, water, unfiltered, field, standard units (Minimum)		pH, water, unfiltered, field, standard units (Median)		Discharge, cubic feet per second (Mean)		Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)		Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Mean)	
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	7374000	2022-07-02	51.2	P	73.8	P	43.3	P	16.92	P	16.13	P	16.48	P	29.2	P	29	P	29.1	P	432	P	420	P	426	P	0.2	P	0.2	P	0.2	P	7.9	P	7.9	P	7.9	P	427000	P	6.1	P	1.82	P
USGS	7374000	2022-07-03	46.4	P	55.3	P	40.3	P	16.13	P	15.4	P	15.73	P	29.2	P	28.9	P	29	P	443	P	429	P	437	P	0.2	P	0.2	P	0.2	P	7.9	P	7.9	P	7.9	P	410000	P	6.1	P	1.81	P
USGS	7374000	2022-07-04	46.4	P	59.6	P	39.5	P	15.4	P	14.51	P	14.96	P	29.5	P	28.9	P	29.2	P	444	P	432	P	438	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	8	P	394000	P	6.2	P	1.86	P
USGS	7374000	2022-07-05	42.1	P	46.5	P	37.1	P	14.54	P	13.76	P	14.12	P	29.5	P	29.2	P	29.3	P	449	P	438	P	441	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	376000	P	6.2	P	1.9	P
USGS	7374000	2022-07-06	41.7	P	47	P	37.5	P	13.77	P	12.87	P	13.31	P	29.5	P	29.1	P	29.3	P	453	P	441	P	447	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	359000	P	6.2	P	1.91	P
USGS	7374000	2022-07-07	40.6	P	67.1	P	33.1	P	12.89	P	12.6	P	12.71	P	29.6	P	29.2	P	29.4	P	459	P	446	P	455	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	346000	P	6.3	P	1.91	P
USGS	7374000	2022-07-08	37.6	P	58.9	P	28.5	P	12.6	P	12.23	P	12.45	P	29.6	P	29.1	P	29.4	P	458	P	445	P	451	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	340000	P	6.3	P	1.93	P
USGS	7374000	2022-07-09	30	P	37.8	P	25.1	P	12.26	P	11.7	P	11.98	P	30.2	P	29.4	P	29.8	P	457	P	449	P	454	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	330000	P	6.4	P	1.93	P
USGS	7374000	2022-07-10	27.3	P	37.1	P	23.2	P	11.71	P	11.38	P	11.52	P	30.5	P	29.9	P	30.2	P	460	P	448	P	453	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	320000	P	6.5	P	1.9	P
USGS	7374000	2022-07-11	30.5	P	42.9	P	21.7	P	11.38	P	10.96	P	11.14	P	30.8	P	30.1	P	30.4	P	462	P	452	P	458	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	312000	P	6.4	P	1.88	P
USGS	7374000	2022-07-12	27.3	P	34.6	P	20.8	P	10.96	P	10.42	P	10.66	P	30.9	P	30.4	P	30.7	P	507	P	447	P	479	P	0.2	P	0.2	P	0.2	P	8.1	P	8	P	8	P	301000	P	6.4	P	1.88	P
USGS	7374000	2022-07-13	26.1	P	29.8	P	21.4	P	10.43	P	9.87	P	10.04	P	31.3	P	30.8	P	31.1	P	473	P	460	P	466	P	0.2	P	0.2	P	0.2	P	8.1	P	8	P	8	P	288000	P	6.3	P	1.88	P
USGS	7374000	2022-07-14	22.9	P	35.4	P	18	P	9.87	P	9.37	P	9.56	P	31.3	P	31	P	31.1	P	502	P	460	P	466	P	0.2	P	0.2	P	0.2	P	8.1	P	8	P	8	P	278000	P	6.3	P	1.86	P
USGS	7374000	2022-07-15	21.1	P	32.5	P	13.3	P	9.56	P	9.14	P	9.34	P	31.2	P	30.8	P	31	P	515	P	474	P	491	P	0.3	P	0.2	P	0.2	P	8.1	P	8	P	8	P	273000	P	6.2	P	1.85	P
USGS	7374000	2022-07-16	19.1	P	29.8	P	13.2	P	9.59	P	9.22	P	9.37	P	31.3	P	30.7	P	31	P	485	P	476	P	481	P	0.2	P	0.2	P	0.2	P	8.1	P	8	P	8.1	P	274000	P	6.4	P	1.83	P
USGS	7374000	2022-07-17	21.4	P	33.3	P	13.4	P	9.85	P	9.44	P	9.58	P	31.3	P	30.9	P	31.1	P	487	P	472	P	480	P	0.2	P	0.2	P	0.2	P	8.1	P	8.1	P	8.1	P	278000	P	6.4	P	1.75	P
USGS	7374000	2022-07-18	20.8	P	24.3	P	17.4	P	10.19	P	9.85	P	9.98	P	31.2	P	30.9	P	31	P	511	P	475	P	487	P	0.3	P	0.2	P	0.2	P	8.1	P	8.1	P	8.1	P	287000	P	6.5	P	1.72	P
USGS	7374000	2022-07-19	19.7	P	28.6	P	12.2	P	10.41	P	10.17	P	10.3	P	31.5	P	30.9	P	31.2	P	497	P	477	P	485	P	0.2	P	0.2	P	0.2	P	8.1	P	8.1	P	8.1	P	294000	P	6.5	P	1.72	P
USGS	7374000	2022-07-20	17.2	P	20.3	P	14.4	P	10.52	P	10.37	P	10.45	P	31.4	P	30.9	P	31.2	P	489	P	475	P	480	P	0.2	P	0.2	P	0.2	P	8.1	P	8.1	P	8.1	P	297000	P	6.6	P	1.75	P
USGS	7374000	2022-07-21	19.1	P	30.1	P	14.6	P	10.57	P	10.41	P	10.48	P	31.4	P	30.9	P	31.1	P	487	P	473	P	479	P	0.2	P	0.2	P	0.2	P	8.2	P	8.1	P	8.1	P	298000	P	6.6	P	1.73	P
USGS	7374000	2022-07-22	21.3	P	32	P	16.1	P	10.62	P	10.35	P	10.51	P	30.9	P	30.4	P	30.7	P	480	P	469	P	474	P	0.2	P	0.2	P	0.2	P	8.1	P	8.1	P	8.1	P	298000	P	6.5	P	1.69	P
USGS	7374000	2022-07-23	20.4	P	45	P	14.4	P	10.46	P	10.28	P	10.37	P	30.6	P	30.3	P	30.4	P	490	P	478	P	484	P	0.2	P	0.2	P	0.2	P	8.1	P	8.1	P	8.1	P	295000	P	6.4	P	1.7	P
USGS	7374000	2022-07-24	17.5	P	31.8	P	14.1	P	10.53	P	10.23	P	10.36	P	30.8	P	30.2	P	30.5	P	521	P	485	P	508	P	0.3	P	0.2	P	0.3	P	8.2	P	8.1	P	8.2	P	295000	P	6.6	P	1.7	P
USGS	7374000	2022-07-25	19.1	P	25.5	P	14.2	P	10.64	P	10.31	P	10.47	P	30.7	P	30.5	P	30.6	P	502	P	485	P	494	P	0.2	P	0.2	P	0.2	P	8.2	P	8.1	P	8.2	P	297000	P	6.6	P	1.65	P
USGS	7374000	2022-07-26	21.8	P	34.4	P	16.2	P	10.51	P	10.23	P	10.34	P	30.7	P	30.3	P	30.5	P	505	P	490	P	497	P	0.2	P	0.2	P	0.2	P	8.2	P	8.1	P	8.1	P	295000	P	6.5	P	1.62	P
USGS	7374000	2022-07-27	21.1	P	26.1	P	0	P	10.41	P	10.08	P	10.23	P	30.6	P	30.2	P	30.4	P	497	P	483	P	492	P	0.2	P	0.2	P	0.2	P	8.1	P	8.1	P	8.1	P	292000	P	6.4	P	1.6	P
USGS	7374000	2022-07-28	23	P	30.6	P	20.2	P	10.43	P	10.19	P	10.31	P	30.8	P	30.3	P	30.5	P	503	P	481	P	487	P	0.2	P	0.2	P	0.2	P	8.1	P	7.9	P	7.9	P	294000	P	6.4	P	1.6	P
USGS	7374000	2022-07-29	22.3	P	31.2	P	18.8	P	10.37	P	9.98	P	10.11	P	30.7	P	30.4	P	30.5	P	510	P	473	P	483	P	0.3	P	0.2	P	0.2	P	8	P	7.9	P	8	P	290000	P	6.3	P	1.56	P
USGS	7374000	2022-07-30	21.7	P	27.2	P	14.7	P	10.08	P	9.73	P	9.83	P	30.6	P	30.2	P	30.4	P	500	P	468	P	480	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	283000	P	6.3	P	1.52	P
USGS	7374000	2022-07-31	21.4	P	28.2	P	14.1	P	9.78	P	9.47	P	9.59	P	30.4	P	30	P	30.2	P	490	P	453	P	467	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	278000	P	6.2	P	1.49	P
USGS	7374000	2022-08-01	20.9	P	25.9	P	13.2	P	9.69	P	9.39	P	9.53	P	30.7	P	30.2	P	30.4	P	456	P	445	P	451	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	277000	P	6.2	P	1.48	P
USGS	7374000	2022-08-02	18.6	P	23.4	P	15.6	P	10.01	P	9.63	P	9.77	P	30.7	P	30.3	P	30.5	P	463	P	452	P	455	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	282000	P	6.3	P	1.42	P
USGS	7374000	2022-08-03	23	P	38.4	P	15.8	P	10.69	P	9.96	P	10.33	P	30.4	P	30	P	30.1	P	472	P	430	P	453	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	294000	P	6.3	P	1.31	P
USGS	7374000	2022-08-04	26.4	P	44.4	P	16.1	P	11.49	P	10.68	P	11.09	P	30.1	P	29.8	P	30	P	477	P	462	P	469	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	311000	P	6.2	P	1.35	P
USGS	7374000	2022-08-05	32.5	P	37.6	P	22.4	P	12.37	P	11.47	P	11.94	P	29.8	P	29.6	P	29.7	P	482	P	466	P	476	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	329000	P	6.2	P	1.4	P
USGS	7374000	2022-08-06	36.1	P	41.3	P	29.8	P	13.03	P	12.36	P	12.7	P	29.9	P	29.5	P	29.7	P	474	P	446	P	461	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	345000	P	6.3	P	1.37	P
USGS	7374000	2022-08-07	37.9	P	48.1	P	32.2	P	13.54	P	12.98	P	13.28	P	29.8	P	29.5	P	29.6	P	451	P	438	P	445	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	358000	P	6.2	P	1.34	P
USGS	7374000	2022-08-08	37.7	P	42.5	P	33	P	13.93	P	13.48	P	13.69	P	29.8	P	29.5	P	29.7	P	449	P	437	P	445	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	8	P	367000	P	6.1	P	1.32	P
USGS	7374000	2022-08-09	42.2	P	47.5	P	39.5	P	14.27	P	13.81	P	14.02	P	29.8	P	29.5	P	29.7	P	440	P	420	P	430	P	0.2	P	0.2	P	0.2	P	7.9	P	7.9	P	7.9	P	374000	P	6.1	P	1.35	P
USGS	7374000	2022-08-10	44.5	P	49	P	39.2	P	14.48	P	14.13	P	14.29	P	29.7	P	29.5	P	29.6	P	423	P	406	P	416	P	0.2	P	0.2	P	0.2	P	7.9	P	7.9	P	7.9	P	379000	P	6.1	P	1.35	P
USGS	7374000	2022-08-11	46.2	P	51	P	42.6	P	14.44	P	14.21	P	14.33	P	29.5	P	29.2	P	29.4	P	406	P	363	P	382	P	0.2	P	0.2	P	0.2	P	7.9	P	7.9	P	7.9	P	380000	P	6.2	P	1.28	P
USGS	7374000	2022-08-12	48.9	P	59.1	P	43	P	14.37	P	14.08	P	14.19	P	29.4	P	29.1	P	29.2	P	383	P	367	P	375	P	0.2	P	0.2	P	0.2	P	7.9	P	7.8	P	7.9	P	377000	P	6.1	P	1.26	P
USGS	7374000	2022-08-13	46	P	53.3	P	39.2	P	14.21	P	13.92	P	14.03	P	29.6	P	29.1	P	29.3	P	385	P	375	P	379	P	0.2	P	0.2	P	0.2	P	7.9	P	7.8	P	7.9	P	374000	P	6.2	P	1.21	P
USGS	7374000	2022-08-14	39.4	P	47.4	P	33.4	P	13.97	P	13.58	P	13.72	P	29.8	P	29.2	P	29.5	P	386	P	376	P	382	P	0.2	P	0.2	P	0.2	P	7.9	P	7.9	P	7.9	P	367000	P	6.2	P	1.19	P
USGS	7374000	2022-08-15	32.9	P	39.2	P	26.6	P	13.6	P	13.16	P	13.4	P	30.2	P	29.6	P	29.9	P	407	P	384	P	392	P	0.2	P	0.2	P	0.2	P	7.9	P	7.9	P	7.9	P	360000	P	6.3	P	1.16	P
USGS	7374000	2022-08-16	30	P	33.5	P	27	P	13.2	P	12.58	P	12.89	P	30.6	P	30	P	30.3	P	425	P	390	P	407	P	0.2	P	0.2	P	0.2	P	7.9	P	7.9	P	7.9	P	349000	P	6.3	P	1.08	P
USGS	7374000	2022-08-17	31	P	47.9	P	25.6	P	12.59	P	12	P	12.33	P	30.7	P	30.2	P	30.5	P	411	P	389	P	398	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	7.9	P	337000	P	6.3	P	1	P
USGS	7374000	2022-08-18	27.1	P	36.8	P	22.7	P	12.01	P	11.78	P	11.86	P	30.6	P	30.3	P	30.4	P	401	P	389	P	393	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	7.9	P	327000	P	6.3	P	0.9	P
USGS	7374000	2022-08-19	27.9	P	34.2	P	21.2	P	12.49	P	11.8	P	12.19	P	30.3	P	29.9	P	30.2	P	402	P	395	P	398	P	0.2	P	0.2	P	0.2	P	7.9	P	7.9	P	7.9	P	333000	P	6.2	P	0.84	P
USGS	7374000	2022-08-20	46.1	P	86.2	P	26.5	P	12.66	P	12.39	P	12.52	P	29.9	P	29.3	P	29.7	P	418	P	392	P	398	P	0.2	P	0.2	P	0.2	P	7.9	P	7.8	P	7.9	P	340000	P	6	P	0.81	P
USGS	7374000	2022-08-21	71.9	P	103	P	53.8	P	12.4	P	11.87	P	12.06	P	29.5	P	29.2	P	29.3	P	422	P	395	P	406	P	0.2	P	0.2	P	0.2	P	7.8	P	7.8	P	7.8	P	330000	P	5.6	P	0.77	P
USGS	7374000	2022-08-22	47.4	P	64.4	P	33.5	P	11.94	P	11.74	P	11.84	P	29.2	P	28.9	P	29.1	P	404	P	393	P	399	P	0.2	P	0.2	P	0.2	P	7.9	P	7.8	P	7.9	P	325000	P	6	P	0.71	P
USGS	7374000	2022-08-23	39.9	P	51.4	P	31.4	P	12	P	11.71	P	11.84	P	28.9	P	28.4	P	28.6	P	407	P	392	P	400	P	0.2	P	0.2	P	0.2	P	7.9	P	7.9	P	7.9	P	325000	P	6.2	P	0.64	P
USGS	7374000	2022-08-24	54.6	P	64.5	P	44.2	P	13.1	P	11.92	P	12.34	P	28.4	P	28	P	28.2	P	407	P	383	P	392	P	0.2	P	0.2	P	0.2	P	7.9	P	7.8	P	7.9	P	335000	P	6.1	P	0.62	P
USGS	7374000	2022-08-25	67.2	P	79.4	P	51.9	P	13.78	P	13.09	P	13.44	P	28	P	27.7	P	27.9	P	387	P	372	P	378	P	0.2	P	0.2	P	0.2	P	7.9	P	7.8	P	7.8	P	359000	P	6	P	0.62	P
USGS	7374000	2022-08-26	72.9	P	91.5	P	61.9	P	13.88	P	13.67	P	13.74	P	27.7	P	27.6	P	27.6	P	410	P	365	P	380	P	0.2	P	0.2	P	0.2	P	7.8	P	7.7	P	7.8	P	365000	P	5.9	P	0.57	P
USGS	7374000	2022-08-27							13.86	P	13.64	P	13.75	P																									365000	P	5.6	P	0.55	P
USGS	7374000	2022-08-28	73.1	P	86.3	P	59.5	P	13.66	P	13.22	P	13.41	P	27.9	P	27.6	P	27.7	P	390	P	350	P	359	P	0.2	P	0.2	P	0.2	P	7.8	P	7.7	P	7.8	P	358000	P	5.7	P	0.54	P
USGS	7374000	2022-08-29	59.4	P	69.3	P	49.2	P	13.26	P	12.62	P	12.92	P	27.8	P	27.6	P	27.7	P	371	P	359	P	364	P	0.2	P	0.2	P	0.2	P	7.7	P	7.7	P	7.7	P	347000	P	5.6	P	0.53	P
USGS	7374000	2022-08-30	42.6	P	57.7	P	32.9	P	12.62	P	12.04	P	12.29	P	28.3	P	27.8	P	28.1	P	373	P	364	P	368	P	0.2	P	0.2	P	0.2	P	7.8	P	7.7	P	7.8	P	333000	P	5.7	P	0.52	P
USGS	7374000	2022-08-31	32.1	P	59.1	P	24.2	P	12.04	P	11.86	P	11.96	P	28.9	P	28.2	P	28.6	P	387	P	372	P	381	P	0.2	P	0.2	P	0.2	P	7.8	P	7.8	P	7.8	P	326000	P	5.8	P	0.5	P
USGS	7374000	2022-09-01	25.9	P	31.1	P	19.5	P	11.88	P	11.54	P	11.74	P	29.5	P	28.9	P	29.2	P	399	P	378	P	388	P	0.2	P	0.2	P	0.2	P	7.8	P	7.8	P	7.8	P	320000	P	5.9	P	0.48	P
USGS	7374000	2022-09-02	24.3	P	33.7	P	16.8	P	11.56	P	11.22	P	11.44	P	29.7	P	29.3	P	29.5	P	399	P	386	P	392	P	0.2	P	0.2	P	0.2	P	7.9	P	7.8	P	7.8	P	314000	P	6	P	0.46	P
USGS	7374000	2022-09-03	18.9	P	22.1	P	15.1	P	11.24	P	10.79	P	11.11	P	29.6	P	29.4	P	29.5	P	429	P	392	P	406	P	0.2	P	0.2	P	0.2	P	7.9	P	7.8	P	7.9	P	306000	P	5.9	P	0.44	P
USGS	7374000	2022-09-04	17.6	P	24	P	13.9	P	10.79	P	10.24	P	10.57	P	29.5	P	29.3	P	29.5	P	431	P	403	P	409	P	0.2	P	0.2	P	0.2	P	7.9	P	7.8	P	7.9	P	294000	P	5.9	P	0.42	P
USGS	7374000	2022-09-05	18	P	30.6	P	12.8	P	10.24	P	9.73	P	10.04	P	29.4	P	29.2	P	29.3	P	414	P	363	P	401	P	0.2	P	0.2	P	0.2	P	7.9	P	7.9	P	7.9	P	282000	P	5.9	P	0.41	P
USGS	7374000	2022-09-06	19.2	P	27.7	P	12.8	P	9.74	P	9.28	P	9.57	P	29.3	P	29	P	29.2	P	419	P	391	P	408	P	0.2	P	0.2	P	0.2	P	7.9	P	7.8	P	7.9	P	272000	P	5.9	P	0.4	P
USGS	7374000	2022-09-07	23.2	P	31.9	P	16.1	P	9.28	P	8.72	P	8.96	P	29.2	P	28.8	P	29	P	406	P	389	P	399	P	0.2	P	0.2	P	0.2	P	7.8	P	7.8	P	7.8	P	257000	P	5.8	P	0.42	P
USGS	7374000	2022-09-08	23.1	P	36.5	P	16.1	P	8.72	P	8.26	P	8.43	P	29	P	28.6	P	28.8	P	445	P	401	P	425	P	0.2	P	0.2	P	0.2	P	7.9	P	7.8	P	7.8	P	244000	P	5.8	P	0.45	P
USGS	7374000	2022-09-09	17.9	P	26.7	P	12	P	8.53	P	8.07	P	8.28	P	28.9	P	28.3	P	28.6	P	443	P	411	P	419	P	0.2	P	0.2	P	0.2	P	7.9	P	7.8	P	7.9	P	240000	P	6	P	0.51	P
USGS	7374000	2022-09-10	18.4	P	39.7	P	12	P	8.44	P	8.1	P	8.22	P	29.2	P	28.6	P	28.9	P	451	P	425	P	442	P	0.2	P	0.2	P	0.2	P	7.9	P	7.9	P	7.9	P	238000	P	6.1	P	0.55	P
USGS	7374000	2022-09-11	13.7	P	22.3	P	9.1	P	8.25	P	8	P	8.1	P	29.3	P	28.7	P	29	P	466	P	436	P	447	P	0.2	P	0.2	P	0.2	P	7.9	P	7.9	P	7.9	P	235000	P	6.2	P	0.59	P
USGS	7374000	2022-09-12	12.1	P	20.4	P	8.8	P	8.37	P	8.21	P	8.29	P	29.3	P	28.7	P	29	P	463	P	438	P	445	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	8	P	239000	P	6.4	P	0.58	P
USGS	7374000	2022-09-13	16.8	P	23.4	P	10.7	P	8.53	P	8.36	P	8.46	P	28.8	P	28.4	P	28.6	P	465	P	439	P	449	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	7.9	P	243000	P	6.3	P	0.56	P
USGS	7374000	2022-09-14	19.1	P	30.2	P	11.4	P	8.77	P	8.51	P	8.65	P	28.5	P	28.1	P	28.3	P	445	P	429	P	437	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	8	P	248000	P	6.4	P	0.54	P
USGS	7374000	2022-09-15	16.2	P	20	P	11.6	P	8.87	P	8.61	P	8.74	P	28.3	P	27.9	P	28.1	P	487	P	432	P	442	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	249000	P	6.5	P	0.54	P
USGS	7374000	2022-09-16	14.3	P	20.1	P	10.5	P	8.93	P	8.64	P	8.78	P	28.2	P	27.8	P	27.9	P	487	P	449	P	465	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	250000	P	6.7	P	0.53	P
USGS	7374000	2022-09-17	14.5	P	21.3	P	10.2	P	8.85	P	8.49	P	8.69	P	28.1	P	27.7	P	27.9	P	458	P	432	P	443	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	248000	P	6.7	P	0.51	P
USGS	7374000	2022-09-18	14.2	P	20.3	P	9.7	P	8.58	P	8.17	P	8.44	P	28.1	P	27.8	P	27.9	P	446	P	430	P	436	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	241000	P	6.6	P	0.51	P
USGS	7374000	2022-09-19	13	P	18.1	P	8.9	P	8.17	P	7.64	P	7.99	P	28.3	P	27.9	P	28	P	458	P	430	P	446	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	8	P	229000	P	6.6	P	0.53	P
USGS	7374000	2022-09-20	14	P	18.6	P	9.2	P	7.72	P	7.45	P	7.59	P	28.2	P	27.8	P	28	P	430	P	418	P	425	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	8	P	219000	P	6.5	P	0.52	P
USGS	7374000	2022-09-21	14.5	P	20.7	P	9.2	P	7.47	P	7.18	P	7.34	P	28.4	P	27.9	P	28.1	P	434	P	420	P	425	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	7.9	P	212000	P	6.4	P	0.52	P
USGS	7374000	2022-09-22	14	P	22.5	P	6.7	P	7.21	P	6.89	P	7.02	P	28.5	P	28	P	28.2	P	471	P	423	P	443	P	0.2	P	0.2	P	0.2	P	7.9	P	7.9	P	7.9	P	204000	P	6.4	P	0.54	P
USGS	7374000	2022-09-23	15.4	P	51.5	P	6.7	P	6.91	P	6.66	P	6.77	P	28.6	P	28	P	28.3	P	464	P	431	P	441	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	7.9	P	197000	P	6.4	P		
USGS	7374000	2022-09-24	13.1	P	59.5	P	8.1	P	6.76	P	6.48	P	6.58	P	28.7	P	28.1	P	28.4	P	450	P	438	P	443	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	7.9	P	193000	P	6.5	P		
USGS	7374000	2022-09-25	14.2	P	42.1	P	6.9	P	6.55	P	6.39	P	6.46	P	28.8	P	28.2	P	28.5	P	473	P	446	P	454	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	7.9	P	189000	P	6.5	P		
USGS	7374000	2022-09-26	14	P	42.8	P	6.6	P	6.43	P	6.31	P	6.36	P	28.8	P	27.8	P	28.3	P	477	P	459	P	468	P	0.2	P	0.2	P	0.2	P	8	P	7.9	P	8	P	187000	P	6.6	P		
USGS	7374000	2022-09-27	12.6	P	25.5	P	6.6	P	6.7	P	6.4	P	6.56	P	28	P	27.1	P	27.6	P	470	P	455	P	462	P	0.2	P	0.2	P	0.2	P	8.1	P	8	P	8	P	192000	P	6.8	P		
USGS	7374000	2022-09-28	17.1	P	41.4	P	7.4	P	7.18	P	6.59	P	6.93	P	27.1	P	26.4	P	26.9	P	509	P	470	P	490	P	0.3	P	0.2	P	0.2	P	8.1	P	8	P	8	P	202000	P	7	P		
USGS	7374000	2022-09-29	13.2	P	28.1	P	6.9	P	6.91	P	5.84	P	6.59	P	26.5	P	25.7	P	26.2	P	476	P	445	P	456	P	0.2	P	0.2	P	0.2	P	8.1	P	8	P	8	P	193000	P	7.2	P		
USGS	7374000	2022-09-30	25.1	P	76.9	P	9.6	P	6.04	P	5.21	P	5.71	P	26	P	25.3	P	25.7	P	463	P	447	P	454	P	0.2	P	0.2	P	0.2	P	8.1	P	8	P	8	P	171000	P	7.1	P		
USGS	7374000	2022-10-01	19.7	P	44.7	P	8	P	5.72	P	5.03	P	5.41	P	25.7	P	24.8	P	25.3	P	490	P	457	P	475	P	0.2	P	0.2	P	0.2	P	8.1	P	8	P	8	P	163000	P	7.2	P		
USGS	7374000	2022-10-02	22.3	P	47.7	P	9.7	P	5.77	P	5.01	P	5.41	P	25.3	P	24.4	P	24.8	P	478	P	457	P	467	P	0.2	P	0.2	P	0.2	P	8.1	P	8	P	8	P	163000	P	7.1	P		
USGS	7374000	2022-10-03	22.7	P	54.6	P	8.6	P	5.68	P	4.84	P	5.31	P	25.1	P	24	P	24.4	P	479	P	460	P	467	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	161000	P	7.2	P		
USGS	7374000	2022-10-04	11.6	P	21.6	P	5.9	P	5.51	P	4.93	P	5.27	P	24.7	P	24.1	P	24.3	P	489	P	468	P	478	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	160000	P	7.1	P		
USGS	7374000	2022-10-05	13.1	P	42.3	P	5.9	P	5.54	P	4.97	P	5.26	P	25.2	P	24.1	P	24.4	P	514	P	481	P	491	P	0.3	P	0.2	P	0.2	P	8.1	P	8	P	8	P	159000	P	7.1	P		
USGS	7374000	2022-10-06	14.4	P	28.8	P	6	P	5.45	P	4.93	P	5.19	P	24.7	P	23.9	P	24.2	P	514	P	471	P	481	P	0.3	P	0.2	P	0.2	P	8	P	8	P	8	P	158000	P	7.1	P		
USGS	7374000	2022-10-07	16	P	41.9	P	5.9	P	5.22	P	4.92	P	5.05	P	24.9	P	23.8	P	24.2	P	529	P	479	P	495	P	0.3	P	0.2	P	0.2	P	8	P	8	P	8	P	154000	P	7.1	P		
USGS	7374000	2022-10-08	12.3	P	21.3	P	5.8	P	5.34	P	4.9	P	5.06	P	24.3	P	23.5	P	23.9	P	531	P	501	P	515	P	0.3	P	0.2	P	0.3	P	8	P	8	P	8	P	154000	P	7.3	P		
USGS	7374000	2022-10-09	12.3	P	28.4	P	5.6	P	5.29	P	5.05	P	5.15	P	24.4	P	23.2	P	23.7	P	503	P	480	P	488	P	0.2	P	0.2	P	0.2	P	8.1	P	8	P	8	P	157000	P	7.4	P		
USGS	7374000	2022-10-10	10.5	P	17	P	6.9	P	5.5	P	5.14	P	5.25	P	23.8	P	23.1	P	23.4	P	536	P	482	P	513	P	0.3	P	0.2	P	0.3	P	8	P	8	P	8	P	159000	P	7.4	P		
USGS	7374000	2022-10-11	16.4	P	48.5	P	8.9	P	5.66	P	5.17	P	5.43	P	23.9	P	22.9	P	23.3	P	507	P	480	P	490	P	0.2	P	0.2	P	0.2	P	8	P	8	P	8	P	164000	P	7.4	P		
USGS	7374000	2022-10-12	21.2	P	45.4	P	8.8	P	5.85	P	5.33	P	5.53	P	23.8	P	23	P	23.2	P	508	P	486	P	495	P	0.3	P	0.2	P	0.2	P	8	P	8	P	8	P	166000	P	7.3	P		
